Usuário,Objetivo do treino,Tempo (min),Distância (km),Histórico de lesão,Pace (min/km),Peso (kg),Altura (cm),Atividades/semana,Nível,objetivo_encoded,lesao_encoded,nivel_encoded
1218,Emagrecimento,168,22.6,Não,7.43,51.6,187.0,3,Avançado,1,0,0
1219,Emagrecimento,95,14.6,Não,6.49,82.3,193.0,2,Intermediário,1,0,2
1220,Emagrecimento,48,5.4,Não,8.92,77.7,161.0,5,Intermediário,1,0,2
1221,Maratona,180,35.6,Não,5.05,83.3,170.0,1,Avançado,2,0,0
1222,Emagrecimento,136,17.7,Sim,7.7,96.5,199.0,5,Avançado,1,1,0
1223,Maratona,34,6.6,Não,5.17,84.4,158.0,1,Intermediário,2,0,2
1224,Maratona,21,2.9,Não,7.2,66.0,184.0,2,Intermediário,2,0,2
1225,Maratona,136,16.8,Não,8.08,59.9,162.0,4,Avançado,2,0,0
1226,Bem-estar,37,6.9,Não,5.33,92.7,175.0,5,Iniciante,0,0,1
1227,Maratona,22,2.7,Não,8.02,59.7,190.0,3,Intermediário,2,0,2
1228,Maratona,154,29.6,Não,5.2,58.1,174.0,5,Avançado,2,0,0
1229,Bem-estar,180,23.7,Sim,7.6,60.3,190.0,2,Intermediário,0,1,2
1230,Maratona,127,18.1,Sim,7.03,75.4,171.0,4,Avançado,2,1,0
1231,Emagrecimento,114,19.0,Não,5.99,56.2,200.0,4,Intermediário,1,0,2
1232,Emagrecimento,141,27.9,Não,5.06,96.9,172.0,5,Avançado,1,0,0
1233,Maratona,30,3.7,Não,8.18,98.3,157.0,5,Intermediário,2,0,2
1234,Bem-estar,87,13.6,Não,6.41,98.7,170.0,6,Intermediário,0,0,2
1235,Emagrecimento,142,28.8,Sim,4.93,52.0,187.0,5,Avançado,1,1,0
1236,Bem-estar,132,15.8,Não,8.36,97.3,192.0,2,Intermediário,0,0,2
1237,Bem-estar,117,20.7,Não,5.66,99.9,173.0,1,Intermediário,0,0,2
1238,Emagrecimento,112,13.7,Não,8.18,97.1,180.0,6,Intermediário,1,0,2
1239,Bem-estar,41,5.6,Sim,7.32,83.5,192.0,1,Iniciante,0,1,1
1240,Emagrecimento,146,26.7,Não,5.47,85.1,191.0,3,Avançado,1,0,0
1241,Bem-estar,153,31.4,Não,4.88,56.1,183.0,7,Intermediário,0,0,2
1242,Emagrecimento,44,5.9,Não,7.47,93.7,191.0,2,Intermediário,1,0,2
1243,Maratona,104,22.5,Não,4.63,53.0,179.0,6,Avançado,2,0,0
1244,Emagrecimento,74,15.3,Não,4.83,65.9,150.0,4,Intermediário,1,0,2
1245,Emagrecimento,163,20.3,Não,8.01,99.6,152.0,6,Avançado,1,0,0
1246,Emagrecimento,114,15.9,Sim,7.19,71.1,199.0,3,Intermediário,1,1,2
1247,Emagrecimento,161,26.3,Não,6.13,56.6,157.0,4,Avançado,1,0,0
1248,Bem-estar,175,24.3,Não,7.2,98.5,170.0,6,Intermediário,0,0,2
1249,Maratona,138,18.5,Não,7.46,99.2,197.0,4,Avançado,2,0,0
1250,Emagrecimento,28,3.8,Sim,7.33,59.4,160.0,5,Iniciante,1,1,1
1251,Bem-estar,169,21.9,Sim,7.71,93.2,192.0,4,Intermediário,0,1,2
1252,Maratona,179,19.5,Não,9.2,69.5,191.0,6,Avançado,2,0,0
1253,Maratona,61,9.5,Não,6.44,69.1,199.0,4,Intermediário,2,0,2
1254,Maratona,72,12.0,Não,6.01,63.1,164.0,2,Intermediário,2,0,2
1255,Maratona,93,19.8,Não,4.69,52.2,166.0,5,Avançado,2,0,0
1256,Emagrecimento,58,11.1,Não,5.24,63.4,195.0,5,Intermediário,1,0,2
1257,Emagrecimento,141,28.0,Sim,5.03,52.7,162.0,3,Avançado,1,1,0
1258,Bem-estar,34,5.5,Não,6.18,96.2,177.0,5,Iniciante,0,0,1
1259,Bem-estar,176,23.3,Não,7.55,83.1,185.0,1,Intermediário,0,0,2
1260,Bem-estar,142,30.0,Não,4.73,94.3,164.0,2,Intermediário,0,0,2
1261,Maratona,130,16.0,Não,8.14,85.9,197.0,3,Avançado,2,0,0
1262,Maratona,150,23.1,Não,6.49,56.6,183.0,1,Avançado,2,0,0
1263,Emagrecimento,102,10.9,Não,9.32,97.0,152.0,4,Intermediário,1,0,2
1264,Maratona,29,4.0,Sim,7.34,95.0,157.0,7,Intermediário,2,1,2
1265,Maratona,111,13.3,Não,8.36,67.4,160.0,1,Intermediário,2,0,2
1266,Maratona,48,5.4,Não,8.81,55.6,162.0,3,Intermediário,2,0,2
1267,Bem-estar,54,6.0,Não,8.94,85.2,187.0,5,Iniciante,0,0,1
1268,Bem-estar,25,3.5,Sim,7.09,86.4,154.0,2,Iniciante,0,1,1
1269,Emagrecimento,159,24.5,Sim,6.48,94.8,168.0,7,Avançado,1,1,0
1270,Maratona,130,17.8,Não,7.3,52.6,196.0,3,Avançado,2,0,0
1271,Maratona,57,8.8,Não,6.51,57.1,178.0,1,Intermediário,2,0,2
1272,Emagrecimento,96,16.8,Não,5.7,79.9,163.0,7,Intermediário,1,0,2
1273,Maratona,112,18.3,Não,6.12,81.0,198.0,1,Avançado,2,0,0
1274,Maratona,166,29.3,Não,5.66,51.7,162.0,3,Avançado,2,0,0
1275,Bem-estar,86,14.7,Não,5.85,69.8,195.0,7,Intermediário,0,0,2
1276,Emagrecimento,155,31.2,Não,4.97,79.2,186.0,6,Avançado,1,0,0
1277,Emagrecimento,27,4.1,Não,6.63,86.9,187.0,6,Iniciante,1,0,1
1278,Emagrecimento,141,24.8,Não,5.68,65.8,188.0,3,Avançado,1,0,0
1279,Emagrecimento,103,15.3,Não,6.74,74.2,175.0,6,Intermediário,1,0,2
1280,Bem-estar,151,17.8,Não,8.46,90.7,191.0,3,Intermediário,0,0,2
1281,Bem-estar,104,15.4,Sim,6.74,97.7,192.0,5,Intermediário,0,1,2
1282,Maratona,64,6.9,Não,9.27,61.5,168.0,7,Intermediário,2,0,2
1283,Maratona,155,29.6,Não,5.24,62.7,170.0,3,Avançado,2,0,0
1284,Maratona,106,12.1,Não,8.75,97.0,194.0,4,Intermediário,2,0,2
1285,Maratona,35,6.1,Não,5.74,69.8,176.0,2,Intermediário,2,0,2
1286,Bem-estar,96,10.5,Não,9.17,85.9,193.0,2,Intermediário,0,0,2
1287,Emagrecimento,28,5.0,Sim,5.64,80.6,181.0,4,Intermediário,1,1,2
1288,Bem-estar,79,9.6,Sim,8.23,64.3,180.0,1,Intermediário,0,1,2
1289,Maratona,97,20.2,Não,4.81,82.7,152.0,1,Avançado,2,0,0
1290,Bem-estar,96,12.5,Não,7.65,82.8,164.0,1,Intermediário,0,0,2
1291,Emagrecimento,90,16.1,Não,5.59,79.6,175.0,7,Intermediário,1,0,2
1292,Emagrecimento,34,4.3,Não,7.85,55.0,179.0,1,Iniciante,1,0,1
1293,Bem-estar,90,11.7,Não,7.68,99.8,182.0,5,Intermediário,0,0,2
1294,Bem-estar,121,13.3,Não,9.12,70.0,186.0,4,Intermediário,0,0,2
1295,Bem-estar,41,5.4,Não,7.63,81.9,183.0,2,Iniciante,0,0,1
1296,Maratona,171,26.1,Sim,6.54,94.3,192.0,4,Avançado,2,1,0
1297,Bem-estar,132,24.1,Não,5.47,71.2,165.0,2,Intermediário,0,0,2
1298,Bem-estar,20,2.6,Sim,7.79,88.7,182.0,1,Iniciante,0,1,1
1299,Bem-estar,29,5.7,Sim,5.08,98.6,153.0,5,Iniciante,0,1,1
1300,Emagrecimento,129,14.9,Não,8.64,67.9,174.0,3,Intermediário,1,0,2
1301,Emagrecimento,132,23.0,Sim,5.74,70.3,163.0,3,Avançado,1,1,0
1302,Maratona,69,9.7,Não,7.12,95.3,169.0,6,Intermediário,2,0,2
1303,Maratona,31,4.1,Não,7.48,58.0,168.0,1,Intermediário,2,0,2
1304,Emagrecimento,108,17.1,Não,6.31,51.4,153.0,1,Intermediário,1,0,2
1305,Emagrecimento,173,22.1,Não,7.82,95.4,173.0,4,Avançado,1,0,0
1306,Emagrecimento,131,22.8,Sim,5.75,91.1,200.0,5,Avançado,1,1,0
1307,Bem-estar,97,20.8,Não,4.67,98.6,165.0,5,Intermediário,0,0,2
1308,Bem-estar,140,15.1,Não,9.3,52.9,187.0,4,Intermediário,0,0,2
1309,Emagrecimento,42,6.9,Não,6.1,57.8,177.0,5,Intermediário,1,0,2
1310,Bem-estar,153,19.0,Sim,8.07,55.3,166.0,7,Intermediário,0,1,2
1311,Bem-estar,44,6.2,Não,7.04,84.2,154.0,7,Iniciante,0,0,1
1312,Maratona,37,4.7,Sim,7.84,80.3,161.0,5,Intermediário,2,1,2
1313,Emagrecimento,160,31.7,Não,5.05,68.0,189.0,7,Avançado,1,0,0
1314,Emagrecimento,62,8.7,Não,7.09,52.9,164.0,3,Intermediário,1,0,2
1315,Bem-estar,97,15.0,Sim,6.46,82.0,157.0,5,Intermediário,0,1,2
1316,Emagrecimento,47,7.0,Não,6.76,78.5,167.0,7,Intermediário,1,0,2
1317,Maratona,165,17.7,Não,9.33,55.6,179.0,1,Avançado,2,0,0
1318,Maratona,78,15.1,Não,5.18,95.4,185.0,3,Avançado,2,0,0
1319,Maratona,82,9.9,Não,8.27,59.9,169.0,1,Intermediário,2,0,2
1320,Emagrecimento,111,18.0,Não,6.15,87.2,175.0,1,Intermediário,1,0,2
1321,Emagrecimento,75,12.6,Não,5.95,94.3,173.0,7,Intermediário,1,0,2
1322,Emagrecimento,174,29.7,Sim,5.85,79.0,150.0,7,Avançado,1,1,0
1323,Emagrecimento,179,28.7,Não,6.24,62.3,170.0,4,Avançado,1,0,0
1324,Emagrecimento,130,20.7,Sim,6.29,65.5,179.0,6,Avançado,1,1,0
1325,Maratona,156,26.7,Não,5.85,94.3,178.0,5,Avançado,2,0,0
1326,Bem-estar,87,11.1,Não,7.84,64.9,187.0,5,Intermediário,0,0,2
1327,Maratona,65,13.7,Não,4.74,87.3,184.0,5,Intermediário,2,0,2
1328,Emagrecimento,86,14.0,Não,6.16,99.5,164.0,5,Intermediário,1,0,2
1329,Maratona,173,29.3,Não,5.9,100.0,163.0,7,Avançado,2,0,0
1330,Emagrecimento,155,18.8,Não,8.26,76.7,173.0,3,Avançado,1,0,0
1331,Emagrecimento,25,4.8,Não,5.23,91.3,187.0,2,Iniciante,1,0,1
1332,Maratona,43,4.7,Não,9.2,99.5,155.0,1,Intermediário,2,0,2
1333,Emagrecimento,113,21.1,Não,5.35,68.7,197.0,6,Intermediário,1,0,2
1334,Bem-estar,32,5.0,Não,6.35,62.6,177.0,6,Iniciante,0,0,1
1335,Emagrecimento,44,8.0,Sim,5.5,55.7,165.0,2,Intermediário,1,1,2
1336,Bem-estar,167,28.2,Não,5.93,57.0,185.0,2,Intermediário,0,0,2
1337,Bem-estar,137,16.5,Não,8.31,92.7,152.0,2,Intermediário,0,0,2
1338,Emagrecimento,101,14.7,Não,6.88,79.4,174.0,7,Intermediário,1,0,2
1339,Maratona,130,24.5,Não,5.31,93.7,174.0,3,Avançado,2,0,0
1340,Bem-estar,101,21.4,Não,4.73,89.5,158.0,2,Intermediário,0,0,2
1341,Maratona,85,15.0,Não,5.65,83.7,192.0,3,Avançado,2,0,0
1342,Bem-estar,64,6.9,Não,9.23,80.5,190.0,7,Intermediário,0,0,2
1343,Emagrecimento,133,15.2,Não,8.73,52.4,158.0,4,Avançado,1,0,0
1344,Emagrecimento,82,12.2,Não,6.7,93.6,168.0,4,Intermediário,1,0,2
1345,Bem-estar,95,13.7,Não,6.91,70.9,155.0,6,Intermediário,0,0,2
1346,Emagrecimento,133,14.8,Não,9.0,78.0,192.0,4,Intermediário,1,0,2
1347,Bem-estar,130,17.4,Não,7.46,51.1,166.0,3,Intermediário,0,0,2
1348,Emagrecimento,166,18.7,Não,8.9,96.8,172.0,3,Avançado,1,0,0
1349,Maratona,54,7.8,Não,6.96,95.1,166.0,1,Intermediário,2,0,2
1350,Emagrecimento,72,13.1,Não,5.5,77.2,166.0,2,Intermediário,1,0,2
1351,Maratona,45,5.5,Não,8.13,78.9,187.0,5,Intermediário,2,0,2
1352,Emagrecimento,33,4.6,Não,7.13,85.3,187.0,5,Iniciante,1,0,1
1353,Maratona,137,17.5,Não,7.84,63.2,176.0,2,Avançado,2,0,0
1354,Emagrecimento,64,12.1,Não,5.29,61.1,183.0,5,Intermediário,1,0,2
1355,Maratona,70,9.0,Não,7.74,83.7,176.0,5,Intermediário,2,0,2
1356,Bem-estar,138,21.5,Não,6.41,55.2,151.0,7,Intermediário,0,0,2
1357,Bem-estar,170,27.6,Não,6.16,72.7,153.0,5,Intermediário,0,0,2
1358,Maratona,38,4.8,Não,7.86,74.6,169.0,6,Intermediário,2,0,2
1359,Emagrecimento,101,13.5,Não,7.46,69.1,187.0,3,Intermediário,1,0,2
1360,Maratona,95,12.3,Não,7.75,59.3,196.0,3,Intermediário,2,0,2
1361,Emagrecimento,111,11.9,Não,9.33,67.8,151.0,3,Intermediário,1,0,2
1362,Bem-estar,52,6.5,Não,8.01,66.9,168.0,2,Iniciante,0,0,1
1363,Emagrecimento,166,21.6,Não,7.7,75.0,161.0,4,Avançado,1,0,0
1364,Bem-estar,47,6.2,Não,7.57,83.7,191.0,6,Iniciante,0,0,1
1365,Emagrecimento,142,21.9,Não,6.49,98.4,192.0,6,Avançado,1,0,0
1366,Emagrecimento,145,16.7,Não,8.7,57.2,160.0,5,Avançado,1,0,0
1367,Emagrecimento,56,8.8,Não,6.4,93.7,186.0,1,Intermediário,1,0,2
1368,Maratona,173,21.6,Não,8.0,64.2,187.0,3,Avançado,2,0,0
1369,Maratona,118,19.8,Sim,5.97,79.6,159.0,7,Avançado,2,1,0
1370,Bem-estar,117,22.3,Não,5.24,77.3,172.0,6,Intermediário,0,0,2
1371,Bem-estar,146,28.3,Não,5.15,77.8,181.0,6,Intermediário,0,0,2
1372,Maratona,99,12.9,Não,7.67,86.2,151.0,1,Intermediário,2,0,2
1373,Bem-estar,57,9.3,Não,6.14,69.1,170.0,5,Iniciante,0,0,1
1374,Maratona,96,16.3,Não,5.88,66.0,158.0,6,Avançado,2,0,0
1375,Emagrecimento,145,19.4,Não,7.46,92.6,177.0,6,Avançado,1,0,0
1376,Bem-estar,106,22.9,Não,4.63,61.0,192.0,4,Intermediário,0,0,2
1377,Bem-estar,73,12.7,Sim,5.73,59.0,176.0,1,Intermediário,0,1,2
1378,Maratona,169,27.3,Não,6.2,50.8,152.0,7,Avançado,2,0,0
1379,Bem-estar,35,4.4,Não,8.04,60.5,151.0,7,Iniciante,0,0,1
1380,Bem-estar,47,6.5,Não,7.23,75.9,180.0,5,Iniciante,0,0,1
1381,Emagrecimento,65,7.4,Sim,8.78,76.9,166.0,5,Intermediário,1,1,2
1382,Bem-estar,91,14.7,Sim,6.17,62.7,179.0,3,Intermediário,0,1,2
1383,Emagrecimento,104,17.4,Não,5.98,53.6,158.0,4,Intermediário,1,0,2
1384,Maratona,45,9.6,Sim,4.67,87.2,189.0,5,Intermediário,2,1,2
1385,Bem-estar,104,11.2,Sim,9.26,87.9,193.0,4,Intermediário,0,1,2
1386,Emagrecimento,172,24.5,Não,7.01,99.9,194.0,3,Avançado,1,0,0
1387,Maratona,84,12.0,Não,7.01,95.0,165.0,7,Intermediário,2,0,2
1388,Bem-estar,153,16.8,Não,9.12,96.3,183.0,1,Intermediário,0,0,2
1389,Maratona,170,28.6,Sim,5.95,89.9,164.0,6,Avançado,2,1,0
1390,Bem-estar,134,21.8,Sim,6.16,80.8,188.0,6,Intermediário,0,1,2
1391,Maratona,83,10.7,Não,7.78,56.4,156.0,2,Intermediário,2,0,2
1392,Maratona,106,12.6,Não,8.43,81.1,188.0,2,Intermediário,2,0,2
1393,Emagrecimento,126,15.8,Sim,8.0,52.8,172.0,2,Avançado,1,1,0
1394,Maratona,170,20.1,Não,8.44,94.3,193.0,6,Avançado,2,0,0
1395,Bem-estar,115,15.6,Não,7.38,74.1,187.0,4,Intermediário,0,0,2
1396,Bem-estar,177,20.1,Não,8.81,84.9,169.0,2,Intermediário,0,0,2
1397,Emagrecimento,96,13.2,Não,7.25,52.6,195.0,1,Intermediário,1,0,2
1398,Bem-estar,165,29.2,Não,5.65,76.7,164.0,5,Intermediário,0,0,2
1399,Bem-estar,106,14.7,Não,7.21,65.1,198.0,4,Intermediário,0,0,2
1400,Bem-estar,168,20.8,Não,8.06,64.2,188.0,6,Intermediário,0,0,2
1401,Maratona,76,9.8,Não,7.77,69.5,200.0,1,Intermediário,2,0,2
1402,Maratona,122,21.3,Não,5.72,50.0,153.0,7,Avançado,2,0,0
1403,Bem-estar,170,36.1,Não,4.71,73.3,164.0,6,Intermediário,0,0,2
1404,Emagrecimento,110,19.1,Não,5.76,74.3,187.0,4,Intermediário,1,0,2
1405,Maratona,64,6.8,Não,9.42,93.2,196.0,4,Intermediário,2,0,2
1406,Emagrecimento,107,19.7,Sim,5.42,72.4,151.0,4,Intermediário,1,1,2
1407,Bem-estar,134,19.6,Não,6.82,68.2,150.0,3,Intermediário,0,0,2
1408,Bem-estar,66,8.6,Sim,7.69,99.7,163.0,5,Intermediário,0,1,2
1409,Maratona,154,17.3,Não,8.9,78.6,193.0,2,Avançado,2,0,0
1410,Bem-estar,69,8.3,Sim,8.3,73.6,188.0,3,Intermediário,0,1,2
1411,Maratona,103,11.4,Não,9.04,74.8,167.0,5,Intermediário,2,0,2
1412,Bem-estar,110,14.6,Sim,7.52,90.5,150.0,6,Intermediário,0,1,2
1413,Bem-estar,153,17.3,Não,8.83,67.0,178.0,2,Intermediário,0,0,2
1414,Maratona,110,18.9,Não,5.82,69.5,162.0,7,Avançado,2,0,0
1415,Maratona,156,23.5,Não,6.65,87.8,187.0,3,Avançado,2,0,0
1416,Maratona,128,14.7,Não,8.72,53.6,172.0,3,Avançado,2,0,0
1417,Bem-estar,76,12.4,Não,6.13,93.3,184.0,1,Intermediário,0,0,2
1418,Bem-estar,50,5.6,Não,8.86,71.5,193.0,7,Iniciante,0,0,1
1419,Emagrecimento,40,6.3,Não,6.32,79.1,177.0,7,Intermediário,1,0,2
1420,Maratona,109,17.2,Não,6.32,87.9,167.0,3,Avançado,2,0,0
1421,Bem-estar,59,9.8,Não,6.05,63.3,188.0,4,Iniciante,0,0,1
1422,Bem-estar,131,18.1,Não,7.23,94.5,163.0,6,Intermediário,0,0,2
1423,Maratona,64,12.4,Não,5.15,99.0,195.0,7,Intermediário,2,0,2
1424,Emagrecimento,96,20.5,Não,4.68,74.7,154.0,3,Intermediário,1,0,2
1425,Maratona,106,11.8,Não,8.99,96.8,192.0,4,Intermediário,2,0,2
1426,Emagrecimento,167,18.3,Não,9.14,50.1,155.0,5,Avançado,1,0,0
1427,Bem-estar,120,24.6,Não,4.88,94.7,153.0,5,Intermediário,0,0,2
1428,Emagrecimento,136,18.8,Não,7.25,65.6,168.0,7,Avançado,1,0,0
1429,Bem-estar,111,15.4,Não,7.2,65.6,198.0,4,Intermediário,0,0,2
1430,Maratona,164,25.8,Não,6.36,61.4,199.0,1,Avançado,2,0,0
1431,Maratona,47,6.4,Sim,7.34,65.9,160.0,1,Intermediário,2,1,2
1432,Maratona,44,6.5,Sim,6.79,60.7,157.0,5,Intermediário,2,1,2
1433,Emagrecimento,77,11.1,Não,6.95,95.3,168.0,6,Intermediário,1,0,2
1434,Bem-estar,60,7.2,Não,8.28,95.0,167.0,3,Intermediário,0,0,2
1435,Maratona,153,21.5,Não,7.13,55.1,188.0,7,Avançado,2,0,0
1436,Maratona,94,15.4,Não,6.12,57.1,172.0,7,Avançado,2,0,0
1437,Bem-estar,57,7.7,Não,7.41,93.1,189.0,5,Iniciante,0,0,1
1438,Maratona,153,19.9,Não,7.7,69.9,187.0,5,Avançado,2,0,0
1439,Bem-estar,94,12.0,Não,7.81,58.5,179.0,4,Intermediário,0,0,2
1440,Bem-estar,161,21.2,Não,7.59,75.5,192.0,1,Intermediário,0,0,2
1441,Bem-estar,85,10.9,Não,7.82,70.8,160.0,6,Intermediário,0,0,2
1442,Bem-estar,22,3.6,Não,6.05,61.0,158.0,4,Iniciante,0,0,1
1443,Bem-estar,136,20.2,Não,6.73,86.0,188.0,5,Intermediário,0,0,2
1444,Emagrecimento,118,15.1,Não,7.84,81.6,162.0,2,Intermediário,1,0,2
1445,Maratona,171,20.7,Não,8.27,55.0,150.0,3,Avançado,2,0,0
1446,Emagrecimento,38,5.7,Sim,6.67,96.3,196.0,5,Intermediário,1,1,2
1447,Maratona,165,26.1,Não,6.33,77.9,181.0,4,Avançado,2,0,0
1448,Emagrecimento,135,16.7,Não,8.08,62.5,172.0,2,Avançado,1,0,0
1449,Bem-estar,144,25.7,Não,5.61,60.3,186.0,2,Intermediário,0,0,2
1450,Maratona,107,23.5,Não,4.55,56.8,167.0,5,Avançado,2,0,0
1451,Maratona,54,7.9,Não,6.86,71.2,198.0,6,Intermediário,2,0,2
1452,Emagrecimento,20,3.7,Não,5.37,56.8,153.0,1,Iniciante,1,0,1
1453,Emagrecimento,172,26.9,Sim,6.39,70.8,182.0,2,Avançado,1,1,0
1454,Maratona,145,24.3,Não,5.96,57.4,189.0,7,Avançado,2,0,0
1455,Emagrecimento,108,12.9,Não,8.39,82.8,173.0,3,Intermediário,1,0,2
1456,Emagrecimento,163,26.5,Sim,6.16,89.3,188.0,4,Avançado,1,1,0
1457,Emagrecimento,166,21.6,Não,7.7,77.5,196.0,4,Avançado,1,0,0
1458,Bem-estar,170,21.6,Não,7.87,84.0,187.0,4,Intermediário,0,0,2
1459,Bem-estar,44,6.5,Não,6.78,96.9,165.0,7,Iniciante,0,0,1
1460,Emagrecimento,35,7.1,Sim,4.91,81.9,178.0,5,Intermediário,1,1,2
1461,Emagrecimento,92,11.5,Não,8.0,68.2,196.0,4,Intermediário,1,0,2
1462,Bem-estar,148,30.3,Não,4.88,72.5,172.0,7,Intermediário,0,0,2
1463,Bem-estar,61,12.2,Não,5.0,93.0,184.0,4,Intermediário,0,0,2
1464,Maratona,166,30.3,Não,5.48,56.5,173.0,3,Avançado,2,0,0
1465,Maratona,99,16.8,Não,5.9,66.3,156.0,7,Avançado,2,0,0
1466,Bem-estar,123,14.1,Não,8.73,78.9,153.0,1,Intermediário,0,0,2
1467,Emagrecimento,165,21.0,Sim,7.87,83.8,198.0,6,Avançado,1,1,0
1468,Emagrecimento,53,8.2,Não,6.44,88.2,181.0,5,Intermediário,1,0,2
1469,Emagrecimento,108,11.5,Não,9.39,65.9,155.0,5,Intermediário,1,0,2
1470,Emagrecimento,144,25.2,Não,5.72,57.3,193.0,4,Avançado,1,0,0
1471,Maratona,64,8.5,Não,7.55,97.7,176.0,3,Intermediário,2,0,2
1472,Bem-estar,153,17.5,Não,8.74,53.8,189.0,2,Intermediário,0,0,2
1473,Emagrecimento,40,4.7,Não,8.51,54.8,156.0,7,Iniciante,1,0,1
1474,Maratona,141,28.5,Não,4.95,74.7,195.0,4,Avançado,2,0,0
1475,Emagrecimento,89,11.1,Não,7.99,91.0,180.0,7,Intermediário,1,0,2
1476,Bem-estar,115,19.9,Sim,5.79,88.7,187.0,4,Intermediário,0,1,2
1477,Maratona,124,19.7,Não,6.28,96.9,152.0,5,Avançado,2,0,0
1478,Bem-estar,67,9.7,Não,6.94,57.1,166.0,5,Intermediário,0,0,2
1479,Bem-estar,58,6.9,Não,8.45,68.8,163.0,4,Iniciante,0,0,1
1480,Maratona,50,9.4,Não,5.33,64.1,197.0,5,Intermediário,2,0,2
1481,Maratona,29,5.8,Sim,5.04,93.0,159.0,3,Intermediário,2,1,2
1482,Maratona,49,9.3,Sim,5.27,74.4,185.0,2,Intermediário,2,1,2
1483,Maratona,37,6.6,Não,5.59,51.3,152.0,2,Intermediário,2,0,2
1484,Maratona,107,22.3,Não,4.8,85.4,160.0,7,Avançado,2,0,0
1485,Maratona,144,15.8,Não,9.13,69.4,167.0,2,Avançado,2,0,0
1486,Maratona,92,15.1,Não,6.1,76.6,190.0,7,Avançado,2,0,0
1487,Emagrecimento,34,6.3,Não,5.38,94.7,189.0,4,Intermediário,1,0,2
1488,Bem-estar,23,3.0,Sim,7.69,62.8,198.0,6,Iniciante,0,1,1
1489,Maratona,28,3.3,Não,8.43,62.0,196.0,4,Intermediário,2,0,2
1490,Emagrecimento,128,15.5,Não,8.27,63.2,154.0,4,Avançado,1,0,0
1491,Emagrecimento,156,19.3,Não,8.09,66.9,191.0,3,Avançado,1,0,0
1492,Emagrecimento,173,36.4,Sim,4.75,55.4,173.0,2,Avançado,1,1,0
1493,Bem-estar,151,18.0,Não,8.41,84.9,193.0,5,Intermediário,0,0,2
1494,Maratona,35,5.0,Não,7.01,60.4,154.0,5,Intermediário,2,0,2
1495,Emagrecimento,162,20.9,Não,7.75,96.3,191.0,1,Avançado,1,0,0
1496,Bem-estar,118,12.7,Não,9.28,60.8,158.0,1,Intermediário,0,0,2
1497,Bem-estar,140,16.4,Não,8.55,62.8,167.0,7,Intermediário,0,0,2
1498,Bem-estar,71,8.2,Sim,8.63,64.9,151.0,6,Intermediário,0,1,2
1499,Emagrecimento,88,16.3,Não,5.41,88.4,156.0,7,Intermediário,1,0,2
1500,Maratona,24,3.5,Não,6.88,71.4,172.0,5,Intermediário,2,0,2
1501,Emagrecimento,39,4.2,Sim,9.25,91.0,191.0,2,Iniciante,1,1,1
1502,Emagrecimento,98,13.2,Sim,7.41,89.2,189.0,7,Intermediário,1,1,2
1503,Maratona,165,32.9,Sim,5.01,96.5,162.0,4,Avançado,2,1,0
1504,Maratona,130,15.9,Sim,8.16,87.8,158.0,5,Avançado,2,1,0
1505,Maratona,21,4.5,Não,4.71,52.6,169.0,6,Intermediário,2,0,2
1506,Bem-estar,112,13.6,Não,8.21,91.9,194.0,6,Intermediário,0,0,2
1507,Maratona,32,3.6,Não,8.9,96.9,155.0,5,Intermediário,2,0,2
1508,Emagrecimento,23,3.5,Não,6.63,99.7,177.0,1,Iniciante,1,0,1
1509,Maratona,128,19.5,Não,6.57,56.3,154.0,2,Avançado,2,0,0
1510,Emagrecimento,93,15.4,Não,6.02,80.7,174.0,5,Intermediário,1,0,2
1511,Bem-estar,114,12.8,Sim,8.88,60.0,156.0,4,Intermediário,0,1,2
1512,Emagrecimento,124,17.1,Não,7.24,63.1,154.0,4,Avançado,1,0,0
1513,Emagrecimento,27,3.6,Não,7.4,87.3,160.0,3,Iniciante,1,0,1
1514,Maratona,86,11.0,Sim,7.81,98.9,163.0,4,Intermediário,2,1,2
1515,Maratona,129,21.5,Não,6.0,79.7,164.0,5,Avançado,2,0,0
1516,Emagrecimento,28,4.2,Não,6.66,92.5,182.0,5,Iniciante,1,0,1
1517,Maratona,136,16.6,Não,8.21,50.4,153.0,4,Avançado,2,0,0
1518,Bem-estar,30,3.2,Sim,9.43,51.8,154.0,1,Iniciante,0,1,1
1519,Bem-estar,118,25.3,Não,4.67,79.8,159.0,2,Intermediário,0,0,2
1520,Maratona,61,13.0,Não,4.71,69.4,194.0,6,Intermediário,2,0,2
1521,Bem-estar,160,24.1,Não,6.64,94.5,181.0,5,Intermediário,0,0,2
1522,Maratona,139,17.8,Não,7.8,65.1,187.0,4,Avançado,2,0,0
1523,Emagrecimento,160,24.9,Não,6.43,71.6,169.0,6,Avançado,1,0,0
1524,Emagrecimento,31,3.3,Sim,9.5,76.4,161.0,4,Iniciante,1,1,1
1525,Bem-estar,56,10.2,Não,5.48,63.7,152.0,5,Iniciante,0,0,1
1526,Maratona,93,20.5,Não,4.54,95.4,174.0,3,Avançado,2,0,0
1527,Maratona,92,16.9,Sim,5.45,73.2,179.0,2,Avançado,2,1,0
1528,Bem-estar,71,8.0,Sim,8.93,71.2,195.0,5,Intermediário,0,1,2
1529,Emagrecimento,149,28.5,Não,5.23,92.5,194.0,6,Avançado,1,0,0
